Rank_PL_Dez25,Instituição,PL_202512,PL_202601,PL_202602,PL_202603,Delta_PL_Dez25_Jan26,Delta_PL_Jan26_Fev26,Delta_PL_Fev26_Mar26,Delta_PL_Dez25_Mar26,Delta_PL_pct_Dez25_Mar26,Maior_Mes_Aumento_PL,LL_Mensal_Jan26,LL_Mensal_Fev26,LL_Mensal_Mar26,LL_202603,Proxy_Capital_Outras_Jan26,Proxy_Capital_Outras_Fev26,Proxy_Capital_Outras_Mar26,Proxy_Capital_Outras_1T26,LL_202503,Delta_LL_Mar25_Mar26,Delta_LL_pct_Mar25_Mar26
4,BNDES - PRUDENCIAL,159028130074.82,178032519138.54,181907778052.78,188293935118.82,19004389063.72,3875258914.23999,6386157066.040009,29265805044.0,0.18402910875095457,Dez25->Jan26,766253664.9200001,583043589.9200001,2092451357.1399994,3441748611.9799995,18238135398.800003,3292215324.31999,4293705708.900009,25824056432.02,5617809222.159996,-2176060610.1799965,-0.38735039303155994
1,ITAU - PRUDENCIAL,203673014341.53,225752822206.28,220850469377.16,220301832049.26,22079807864.75,-4902352829.119995,-548637327.8999939,16628817707.730011,0.08164467816951884,Dez25->Jan26,4630822518.859985,3179960674.4100037,4339708907.350067,12150492100.620056,17448985345.890015,-8082313503.529999,-4888346235.250061,4478325607.109955,11133251624.28003,1017240476.3400269,0.0913695756342712
3,BRADESCO - PRUDENCIAL,163710383749.73,174678585219.16,173302734118.84,172181730067.67,10968201469.429993,-1375851100.3200073,-1121004051.169983,8471346317.940002,0.05174593158910712,Dez25->Jan26,2291212683.069992,344214697.4900055,2407396042.01001,5042823422.570007,8676988786.36,-1720065797.8100128,-3528400093.1799927,3428522895.369995,5825962581.26001,-783139158.6900024,-0.1344222774806475
7,BTG PACTUAL - PRUDENCIAL,66189386993.8,75725119316.61,74287824112.73,73596482823.15,9535732322.809998,-1437295203.880005,-691341289.5800018,7407095829.349991,0.11190760582272528,Dez25->Jan26,1590193426.8399963,1292937786.6700134,1687264481.0,4570395694.51001,7945538895.970001,-2730232990.5500183,-2378605770.580002,2836700134.839981,3209921571.169998,1360474123.3400116,0.42383406982872995
2,BB - PRUDENCIAL,177468658372.45,184703169193.34,184607137913.33,183806626366.06,7234510820.889984,-96031280.01000977,-800511547.269989,6337967993.609985,0.03571316790094066,Dez25->Jan26,1003282985.4899902,1127137524.1200256,1075494323.3499756,3205914832.9599915,6231227835.399994,-1223168804.1300354,-1876005870.6199646,3132053160.649994,6813371760.52002,-3607456927.560028,-0.5294672086533401
5,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,107058583682.48,112186579523.0,112336349026.16,112241447825.58,5127995840.520004,149769503.16000366,-94901200.58000183,5182864143.100006,0.04841147682722591,Dez25->Jan26,983570120.5599976,967369204.7699966,1142852807.959999,3093792133.2899933,4144425719.9600067,-817599701.609993,-1237754008.540001,2089072009.8100128,5387707609.219994,-2293915475.9300003,-0.42576836797980994
13,CLOUDWALK IP - PRUDENCIAL,13637303664.87,14031047081.1,13934858306.65,17273705300.43,393743416.22999954,-96188774.45000076,3338846993.7800007,3636401635.5599995,0.2666510715697746,Fev26->Mar26,86281101.13,105053613.03999996,82001079.94000018,273335794.11000013,307462315.09999955,-201242387.49000072,3256845913.8400006,3363065841.4499993,330143724.81000006,-56807930.69999993,-0.17207030281339825
8,BCO CLASSICO S.A. - PRUDENCIAL,19932580178.35,20876982460.68,21867720026.21,23406807892.45,944402282.3300018,990737565.5299988,1539087866.2400017,3474227714.1000023,0.1742989458973091,Fev26->Mar26,-385904.2100000009,-455541.58000000566,-320179.0299999863,-1161624.8199999928,944788186.5400019,991193107.1099988,1539408045.2700016,3475389338.9200025,735166.1599999964,-1896790.9799999893,-2.5800847253361043
9,NU PAGAMENTOS - PRUDENCIAL,16420372917.84,19068287879.02,18729143712.34,19707687345.65,2647914961.1800003,-339144166.6800003,978543633.3100014,3287314427.8100014,0.20019730637411295,Dez25->Jan26,857506242.9700012,1305247644.6599998,-742213293.4799995,1420540594.1500015,1790408718.209999,-1644391811.3400002,1720756926.790001,1866773833.6599998,2866519208.8600006,-1445978614.709999,-0.5044370922897311
6,SANTANDER - PRUDENCIAL,100129518839.24,102829771743.98,102928461890.33,102966480374.38,2700252904.73999,98690146.3500061,38018484.05000305,2836961535.1399994,0.028332918883738963,Dez25->Jan26,1774775169.4799805,1271013427.830017,1035661854.9700317,4081450452.2800293,925477735.2600098,-1172323281.480011,-997643370.9200287,-1244488917.14003,3959230055.7400208,122220396.54000854,0.030869738514642666
