Rank_PL_Dez25,Instituição,PL_202512,LL_202503,LL_202603,Delta_LL,Var_LL_pct,LL_202503_pct_PL_Dez25,LL_202603_pct_PL_Dez25,Delta_LL_pct_PL_Dez25
2,BB - PRUDENCIAL,177468658372.45,6813371760.52002,3205914832.9599915,-3607456927.560028,-0.5294672086533401,0.03839197198539096,0.018064681743588776,-0.02032729024180218
5,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,107058583682.48,5387707609.219994,3093792133.2899933,-2293915475.9300003,-0.42576836797980994,0.050324854149006316,0.028898123129161932,-0.021426731019844387
4,BNDES - PRUDENCIAL,159028130074.82,5617809222.159996,3441748611.9799995,-2176060610.1799965,-0.38735039303155994,0.03532588366295267,0.02164238874192079,-0.013683494921031878
9,NU PAGAMENTOS - PRUDENCIAL,16420372917.84,2866519208.8600006,1420540594.1500015,-1445978614.709999,-0.5044370922897311,0.1745708957526571,0.08651086070077299,-0.08806003505188412
3,BRADESCO - PRUDENCIAL,163710383749.73,5825962581.26001,5042823422.570007,-783139158.6900024,-0.1344222774806475,0.035587007053666,0.03080332051679235,-0.004783686536873651
24,VOLKSWAGEN - PRUDENCIAL,6436196539.72,399178318.77,-111881645.32999992,-511059964.0999999,-1.2802798650857194,0.062020840461681395,-0.017383192797102993,-0.0794040332587844
15,XP - PRUDENCIAL,10924477962.31,256370333.76000977,-33498748.679992676,-289869082.44000244,-1.1306654642473224,0.02346751347245153,-0.003066393542608173,-0.026533907015059706
35,AGIBANK - PRUDENCIAL,4834022945.76,348772488.62000036,142071371.48000002,-206701117.14000034,-0.5926531589629145,0.0721495310496849,0.02938988355539626,-0.04275964749428863
18,CITIBANK - PRUDENCIAL,8480347135.84,522585150.51000214,340378334.9699936,-182206815.54000854,-0.34866435711422145,0.061623084779328284,0.04013731154134863,-0.02148577323797966
33,UBS (BRASIL) - PRUDENCIAL,5066726370.02,114775114.07000017,-53557676.069999695,-168332790.13999987,-1.4666314340348676,0.022652716110569654,-0.010570469403459867,-0.03322318551402952
23,CREFISA S.A. CFI - PRUDENCIAL,6732872736.54,272859223.15999985,111171473.91000032,-161687749.24999952,-0.5925683851822325,0.04052641923248668,0.016511744430673877,-0.0240146748018128
72,BANCO DIGIMAIS - PRUDENCIAL,798110441.01,-15350085.350000024,-108354961.89000005,-93004876.54000002,-6.058915922574976,-0.019233034128177375,-0.1357643708468192,-0.11653133671864181
30,BANCO SICOOB - PRUDENCIAL,5501872621.27,273528597.9499998,185138152.64999962,-88390445.30000019,-0.3231488259818364,0.04971554537496018,0.03365002525399508,-0.0160655201209651
12,CIELO IP - PRUDENCIAL,13644262958.0,464655474.44000006,384831271.4000001,-79824203.03999996,-0.17179223625031773,0.03405500728550236,0.02820462142840505,-0.005850385857097314
38,GOLDMAN SACHS - PRUDENCIAL,4678912160.64,357906885.77000046,291495463.2799988,-66411422.49000168,-0.18555502878108707,0.07649361079713976,0.062299836644107216,-0.01419377415303254
36,SEM PARAR IP - PRUDENCIAL,4784762331.55,317415249.86000013,254528814.53999996,-62886435.32000017,-0.1981203970122324,0.0663387704269054,0.05319570689262357,-0.013143063534281843
121,BMP SCMEPP LTDA - PRUDENCIAL,130168218.57,92182542.97,34844179.01999998,-57338363.95000002,-0.6220089195050769,0.7081801071159886,0.2676857638737829,-0.4404943432422056
13,CLOUDWALK IP - PRUDENCIAL,13637303664.87,330143724.81000006,273335794.11000013,-56807930.69999993,-0.17207030281339825,0.024208870970619925,0.020043243211934868,-0.0041656277586850565
54,PORTO SEGURO - PRUDENCIAL,1747570799.92,143473026.2099998,87685604.53999996,-55787421.66999984,-0.3888356100354671,0.0820985485775842,0.050175709358392814,-0.03192283921919138
116,BANCO AFINZ BM - PRUDENCIAL,158067175.97,1820132.7600000054,-47840832.81,-49660965.57000001,-27.2842545672327,0.011514931856222025,-0.30266140023327703,-0.3141763320894991
107,GENIAL - PRUDENCIAL,205906687.03,-7304367.189999998,-47720686.34000003,-40416319.150000036,-5.533171881793096,-0.035474162084574615,-0.23175879826111365,-0.19628463617653902
73,FACTA S.A. CFI - PRUDENCIAL,734927489.93,56816080.96999991,18762311.05000007,-38053769.91999984,-0.669771115330764,0.07730841715474747,0.025529472372556285,-0.05177894478219119
29,HONDA - PRUDENCIAL,5743499598.49,140608689.8699999,103499303.71000004,-37109386.15999985,-0.26391957847206615,0.024481361486813152,0.01802025088279115,-0.006461110604022002
47,MERCEDES-BENZ - PRUDENCIAL,2312594005.39,64957211.620000005,29240037.53000009,-35717174.089999914,-0.5498569473539836,0.028088463201324222,0.012643826569579384,-0.01544463663174484
