Rank_PL_Dez25,Instituição,PL_202512,PL_202603,Delta_PL,Var_PL_pct,Contrib_Delta_PL_Pos_pct
118,BULLLA IP - PRUDENCIAL,155818772.84,696428004.69,540609231.85,3.469474325825399,0.004628758136904878
121,BMP SCMEPP LTDA - PRUDENCIAL,130168218.57,232217818.02,102049599.45000002,0.7839824541742595,0.0008737603540465162
44,PICPAY - PRUDENCIAL,3469180980.85,5735927152.23,2266746171.3799996,0.653395191514227,0.019408140236836305
63,PINE - PRUDENCIAL,1147384533.89,1608010402.63,460625868.74,0.40145727533761605,0.0039439314247425635
104,IFOOD PAGO IP - PRUDENCIAL,232055572.03,320840651.3,88785079.27000001,0.3826026606183881,0.000760188013623832
24,VOLKSWAGEN - PRUDENCIAL,6436196539.72,8898175620.81,2461979081.089999,0.38252080493444734,0.021079746761792056
110,MÊNTORE IP - PRUDENCIAL,196306012.7,270691227.14,74385214.44,0.37892478899093857,0.000636894722323385
51,MERCANTIL DO BRASIL - PRUDENCIAL,2057282618.37,2745599250.8,688316632.4300003,0.33457563209052854,0.005893445811542014
37,BANCO C6 - PRUDENCIAL,4721090262.57,6141644468.81,1420554206.2400007,0.3008953710337874,0.012162947751643826
13,CLOUDWALK IP - PRUDENCIAL,13637303664.87,17273705300.43,3636401635.5599995,0.2666510715697746,0.03113528713161681
125,EAGLE SCD - PRUDENCIAL,111046517.05,137700299.17,26653782.11999999,0.24002357595780163,0.00022821273407604628
122,AVANCARD PROVER IP - PRUDENCIAL,128567722.72,155723406.87,27155684.150000006,0.21121696468981377,0.00023251007671916312
54,PORTO SEGURO - PRUDENCIAL,1747570799.92,2115538055.21,367967255.28999996,0.21055928338173463,0.003150577767992553
53,ORIGINAL - PRUDENCIAL,1792476703.73,2164632317.71,372155613.98,0.2076208930389857,0.003186438974617292
18,CITIBANK - PRUDENCIAL,8480347135.84,10227129740.69,1746782604.8500004,0.2059800827571874,0.014956152650102653
9,NU PAGAMENTOS - PRUDENCIAL,16420372917.84,19707687345.65,3287314427.8100014,0.20019730637411295,0.028146362492219336
116,BANCO AFINZ BM - PRUDENCIAL,158067175.97,188095413.04,30028237.069999993,0.18997136429956296,0.0002571052036958868
4,BNDES - PRUDENCIAL,159028130074.82,188293935118.82,29265805044.0,0.18402910875095457,0.25057717339920194
69,QI SCD - PRUDENCIAL,865666322.36,1021880925.49,156214603.13,0.18045590904371103,0.0013375273168512644
8,BCO CLASSICO S.A. - PRUDENCIAL,19932580178.35,23406807892.45,3474227714.1000023,0.1742989458973091,0.02974673544894777
29,HONDA - PRUDENCIAL,5743499598.49,6670827816.1,927328217.6100006,0.1614570005112912,0.007939890368048267
71,BCO DO EST. DE SE S.A. - PRUDENCIAL,831046535.44,961194428.62,130147893.17999995,0.15660722670733807,0.0011143411619080577
65,BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL,1077414033.36,1244152538.58,166738505.22000003,0.15475805962914085,0.0014276341714167706
72,BANCO DIGIMAIS - PRUDENCIAL,798110441.01,912322475.65,114212034.63999999,0.1431030453573141,0.0009778965166082221
17,JP MORGAN CHASE - PRUDENCIAL,9923190578.62,11307849235.25,1384658656.6299992,0.13953764624991824,0.011855605946237757
42,BMG - PRUDENCIAL,3595653292.41,4093855229.98,498201937.5700002,0.13855672309164116,0.0042656620281112095
32,MERCADO PAGO IP - PRUDENCIAL,5156850061.66,5866962227.63,710112165.9700003,0.13770269786386108,0.0060800616650601245
109,BANCO B3 - PRUDENCIAL,196542865.82,221391340.09,24848474.27000001,0.12642776000201913,0.00021275548157647327
84,RANDON - PRUDENCIAL,503609868.04,566869053.86,63259185.81999999,0.1256114898347773,0.0005416323914711606
27,BCO DAYCOVAL S.A - PRUDENCIAL,6146488331.99,6915336842.18,768848510.1900005,0.12508744321346113,0.0065829689689365185
112,GAZINCRED SCFI - PRUDENCIAL,185014244.04,207862563.66,22848319.620000005,0.12349492191022983,0.00019562992846748663
88,CREDSYSTEM IP - PRUDENCIAL,415214665.23,466412977.39,51198312.15999997,0.1233056451212764,0.0004383658103569912
26,BOFA MERRILL LYNCH - PRUDENCIAL,6160907993.46,6915769821.56,754861828.1000004,0.12252444427044037,0.006463213395560825
99,BCO GUANABARA S.A. - PRUDENCIAL,253651963.22,282980588.07,29328624.849999994,0.1156254596955845,0.0002511150437703501
38,GOLDMAN SACHS - PRUDENCIAL,4678912160.64,5218780282.79,539868122.1499996,0.11538325653802278,0.004622412670804574
86,BANQI IP - PRUDENCIAL,430588886.11,480124534.72,49535648.610000014,0.11504163300059127,0.00042412989468522036
10,SAFRA - PRUDENCIAL,15228825454.63,16965956968.24,1737131513.6100006,0.11406864690814766,0.014873518901962082
7,BTG PACTUAL - PRUDENCIAL,66189386993.8,73596482823.15,7407095829.349991,0.11190760582272528,0.06342040252181823
25,ABC-BRASIL - PRUDENCIAL,6234709987.89,6931939884.32,697229896.4299994,0.11183036545152301,0.005969762198380603
66,AF DO ESTADO DE SC S.A. - PRUDENCIAL,1046743387.58,1158509817.88,111766430.30000007,0.10677538700138962,0.0009569569722543709
28,MORGAN STANLEY - PRUDENCIAL,5825368832.05,6408851602.54,583482770.4899998,0.10016237380194636,0.004995846283288711
36,SEM PARAR IP - PRUDENCIAL,4784762331.55,5258681812.0,473919480.4499998,0.09904765328155306,0.004057752850175765
